block	trial	Vstim	Astim	match	resp	result	rt	fb	V-file	A-file
rl

1	1	1	1	1	0	0	0	0	Ⴜ	DEU_p.wav
1	2	1	3	0	1	0	794	0	Ⴜ	DEU_f.wav
1	3	2	2	1	2	0	1137	0	Ⴂ	DEU_n.wav
1	4	2	1	0	0	0	0	0	Ⴂ	DEU_p.wav
1	5	3	3	1	0	0	0	0	Ⴁ	DEU_f.wav
1	6	3	2	0	2	1	1347	1	Ⴁ	DEU_n.wav
1	7	1	1	1	2	0	1498	0	Ⴜ	DEU_p.wav
1	8	1	3	0	2	1	1467	1	Ⴜ	DEU_f.wav
1	9	2	2	1	2	0	1444	0	Ⴂ	DEU_n.wav
1	10	2	1	0	1	0	1648	0	Ⴂ	DEU_p.wav
1	11	3	3	1	0	0	0	0	Ⴁ	DEU_f.wav
1	12	3	2	0	2	1	1499	1	Ⴁ	DEU_n.wav
1	13	1	1	1	2	0	1238	0	Ⴜ	DEU_p.wav
1	14	1	3	0	2	1	1348	1	Ⴜ	DEU_f.wav
1	15	2	2	1	0	0	0	0	Ⴂ	DEU_n.wav
1	16	2	1	0	0	0	0	0	Ⴂ	DEU_p.wav
1	17	3	3	1	2	0	1079	0	Ⴁ	DEU_f.wav
1	18	3	2	0	2	1	1209	1	Ⴁ	DEU_n.wav
1	19	1	1	1	2	0	1841	0	Ⴜ	DEU_p.wav
1	20	1	3	0	1	0	1416	0	Ⴜ	DEU_f.wav
1	21	2	2	1	2	0	776	0	Ⴂ	DEU_n.wav
1	22	2	1	0	2	1	1626	1	Ⴂ	DEU_p.wav
1	23	3	3	1	1	1	1284	1	Ⴁ	DEU_f.wav
1	24	3	2	0	0	0	0	0	Ⴁ	DEU_n.wav
1	25	1	1	1	1	1	1126	1	Ⴜ	DEU_p.wav
1	26	1	3	0	1	0	1576	0	Ⴜ	DEU_f.wav
1	27	2	2	1	1	1	1483	1	Ⴂ	DEU_n.wav
1	28	2	1	0	1	0	1783	0	Ⴂ	DEU_p.wav
1	29	3	3	1	1	1	1385	1	Ⴁ	DEU_f.wav
1	30	3	2	0	2	1	991	1	Ⴁ	DEU_n.wav
1	31	1	1	1	1	1	1655	1	Ⴜ	DEU_p.wav
1	32	1	3	0	2	1	1296	1	Ⴜ	DEU_f.wav
1	33	2	2	1	1	1	1391	1	Ⴂ	DEU_n.wav
1	34	2	1	0	2	1	1847	1	Ⴂ	DEU_p.wav
1	35	3	3	1	1	1	1510	1	Ⴁ	DEU_f.wav
1	36	3	2	0	2	1	1226	1	Ⴁ	DEU_n.wav
1	37	1	1	1	2	0	1462	0	Ⴜ	DEU_p.wav
1	38	1	3	0	0	0	0	0	Ⴜ	DEU_f.wav
1	39	2	2	1	1	1	1182	1	Ⴂ	DEU_n.wav
1	40	2	1	0	1	0	1721	0	Ⴂ	DEU_p.wav
1	41	3	3	1	1	1	1055	1	Ⴁ	DEU_f.wav
1	42	3	2	0	2	1	995	1	Ⴁ	DEU_n.wav
1	43	1	1	1	1	1	1407	1	Ⴜ	DEU_p.wav
1	44	1	3	0	2	1	1611	1	Ⴜ	DEU_f.wav
1	45	2	2	1	1	1	1204	1	Ⴂ	DEU_n.wav
1	46	2	1	0	1	0	1147	0	Ⴂ	DEU_p.wav
1	47	3	3	1	1	1	939	1	Ⴁ	DEU_f.wav
1	48	3	2	0	2	1	924	1	Ⴁ	DEU_n.wav
2	1	1	3	0	2	1	1505	1	Ⴃ	DEU_g.wav
2	2	1	3	0	1	0	648	0	Ⴃ	DEU_g.wav
2	3	3	3	1	1	1	845	1	Ⴡ	DEU_g.wav
2	4	3	3	1	1	1	868	1	Ⴡ	DEU_g.wav
2	5	3	2	0	2	1	1437	1	Ⴡ	DEU_r_1.wav
2	6	3	2	0	2	1	886	1	Ⴡ	DEU_r_1.wav
2	7	1	3	0	2	1	643	1	Ⴃ	DEU_g.wav
2	8	1	1	1	1	1	941	1	Ⴃ	DEU_u_short_1.wav
2	9	2	1	0	2	1	1174	1	Ⴟ	DEU_u_short_1.wav
2	10	2	1	0	2	1	927	1	Ⴟ	DEU_u_short_1.wav
2	11	2	1	0	2	1	654	1	Ⴟ	DEU_u_short_1.wav
2	12	1	1	1	1	1	925	1	Ⴃ	DEU_u_short_1.wav
2	13	3	2	0	2	1	847	1	Ⴡ	DEU_r_1.wav
2	14	3	3	1	1	1	1004	1	Ⴡ	DEU_g.wav
2	15	1	1	1	1	1	852	1	Ⴃ	DEU_u_short_1.wav
2	16	2	2	1	1	1	982	1	Ⴟ	DEU_r_1.wav
2	17	3	2	0	2	1	878	1	Ⴡ	DEU_r_1.wav
2	18	2	1	0	2	1	844	1	Ⴟ	DEU_u_short_1.wav
2	19	3	2	0	2	1	691	1	Ⴡ	DEU_r_1.wav
2	20	2	2	1	1	1	926	1	Ⴟ	DEU_r_1.wav
2	21	1	3	0	2	1	665	1	Ⴃ	DEU_g.wav
2	22	3	2	0	2	1	958	1	Ⴡ	DEU_r_1.wav
2	23	1	3	0	2	1	780	1	Ⴃ	DEU_g.wav
2	24	1	1	1	1	1	815	1	Ⴃ	DEU_u_short_1.wav
2	25	1	1	1	1	1	755	1	Ⴃ	DEU_u_short_1.wav
2	26	2	2	1	1	1	1017	1	Ⴟ	DEU_r_1.wav
2	27	3	3	1	1	1	755	1	Ⴡ	DEU_g.wav
2	28	1	3	0	2	1	836	1	Ⴃ	DEU_g.wav
2	29	3	2	0	2	1	821	1	Ⴡ	DEU_r_1.wav
2	30	3	3	1	1	1	824	1	Ⴡ	DEU_g.wav
2	31	2	2	1	1	1	1065	1	Ⴟ	DEU_r_1.wav
2	32	1	1	1	1	1	817	1	Ⴃ	DEU_u_short_1.wav
2	33	2	1	0	2	1	1246	1	Ⴟ	DEU_u_short_1.wav
2	34	1	3	0	2	1	1061	1	Ⴃ	DEU_g.wav
2	35	2	2	1	1	1	913	1	Ⴟ	DEU_r_1.wav
2	36	2	2	1	1	1	1359	1	Ⴟ	DEU_r_1.wav
2	37	2	2	1	1	1	1728	1	Ⴟ	DEU_r_1.wav
2	38	1	1	1	1	1	796	1	Ⴃ	DEU_u_short_1.wav
2	39	2	1	0	2	1	1116	1	Ⴟ	DEU_u_short_1.wav
2	40	3	3	1	1	1	797	1	Ⴡ	DEU_g.wav
2	41	2	2	1	1	1	1021	1	Ⴟ	DEU_r_1.wav
2	42	3	2	0	2	1	1030	1	Ⴡ	DEU_r_1.wav
2	43	1	1	1	1	1	1315	1	Ⴃ	DEU_u_short_1.wav
2	44	3	3	1	1	1	843	1	Ⴡ	DEU_g.wav
2	45	3	3	1	1	1	795	1	Ⴡ	DEU_g.wav
2	46	1	3	0	2	1	922	1	Ⴃ	DEU_g.wav
2	47	2	1	0	1	0	1561	0	Ⴟ	DEU_u_short_1.wav
2	48	2	1	0	2	1	589	1	Ⴟ	DEU_u_short_1.wav
3	1	2	2	1	2	0	1394	0	Ⴊ	DEU_i_1.wav
3	2	1	1	1	2	0	1888	0	Ⴇ	DEU_e_1.wav
3	3	2	2	1	1	1	1810	1	Ⴊ	DEU_i_1.wav
3	4	3	3	1	2	0	1876	0	Ⴢ	DEU_a_short.wav
3	5	3	2	0	2	1	1132	1	Ⴢ	DEU_i_1.wav
3	6	1	3	0	2	1	1039	1	Ⴇ	DEU_a_short.wav
3	7	2	2	1	1	1	1298	1	Ⴊ	DEU_i_1.wav
3	8	3	2	0	2	1	1477	1	Ⴢ	DEU_i_1.wav
3	9	3	2	0	2	1	846	1	Ⴢ	DEU_i_1.wav
3	10	2	1	0	2	1	1296	1	Ⴊ	DEU_e_1.wav
3	11	3	3	1	1	1	950	1	Ⴢ	DEU_a_short.wav
3	12	3	2	0	2	1	954	1	Ⴢ	DEU_i_1.wav
3	13	2	1	0	2	1	1468	1	Ⴊ	DEU_e_1.wav
3	14	1	3	0	2	1	790	1	Ⴇ	DEU_a_short.wav
3	15	1	3	0	2	1	783	1	Ⴇ	DEU_a_short.wav
3	16	2	2	1	1	1	1546	1	Ⴊ	DEU_i_1.wav
3	17	3	3	1	1	1	985	1	Ⴢ	DEU_a_short.wav
3	18	2	1	0	2	1	1375	1	Ⴊ	DEU_e_1.wav
3	19	2	1	0	2	1	966	1	Ⴊ	DEU_e_1.wav
3	20	1	1	1	1	1	979	1	Ⴇ	DEU_e_1.wav
3	21	1	3	0	2	1	775	1	Ⴇ	DEU_a_short.wav
3	22	2	2	1	1	1	1101	1	Ⴊ	DEU_i_1.wav
3	23	3	3	1	1	1	1383	1	Ⴢ	DEU_a_short.wav
3	24	3	3	1	1	1	937	1	Ⴢ	DEU_a_short.wav
3	25	2	2	1	1	1	1297	1	Ⴊ	DEU_i_1.wav
3	26	3	3	1	1	1	978	1	Ⴢ	DEU_a_short.wav
3	27	3	2	0	2	1	1033	1	Ⴢ	DEU_i_1.wav
3	28	2	2	1	1	1	1346	1	Ⴊ	DEU_i_1.wav
3	29	1	3	0	2	1	879	1	Ⴇ	DEU_a_short.wav
3	30	2	2	1	1	1	979	1	Ⴊ	DEU_i_1.wav
3	31	3	2	0	2	1	1001	1	Ⴢ	DEU_i_1.wav
3	32	3	3	1	1	1	1018	1	Ⴢ	DEU_a_short.wav
3	33	1	3	0	2	1	748	1	Ⴇ	DEU_a_short.wav
3	34	1	3	0	2	1	654	1	Ⴇ	DEU_a_short.wav
3	35	2	1	0	2	1	1356	1	Ⴊ	DEU_e_1.wav
3	36	1	1	1	1	1	861	1	Ⴇ	DEU_e_1.wav
3	37	3	2	0	2	1	1087	1	Ⴢ	DEU_i_1.wav
3	38	1	1	1	1	1	1124	1	Ⴇ	DEU_e_1.wav
3	39	1	1	1	1	1	943	1	Ⴇ	DEU_e_1.wav
3	40	3	2	0	2	1	919	1	Ⴢ	DEU_i_1.wav
3	41	1	1	1	1	1	1051	1	Ⴇ	DEU_e_1.wav
3	42	1	1	1	1	1	1500	1	Ⴇ	DEU_e_1.wav
3	43	1	1	1	1	1	874	1	Ⴇ	DEU_e_1.wav
3	44	3	3	1	1	1	1433	1	Ⴢ	DEU_a_short.wav
3	45	1	3	0	2	1	1245	1	Ⴇ	DEU_a_short.wav
3	46	2	1	0	2	1	1008	1	Ⴊ	DEU_e_1.wav
3	47	2	1	0	2	1	1538	1	Ⴊ	DEU_e_1.wav
3	48	2	1	0	2	1	1235	1	Ⴊ	DEU_e_1.wav
