block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	4	3	0	1	1014	0	2990	1388	Փ	norm_a.wav	8030	9044	11459
1	2	3	3	1	1	958	1	3043	1654	Թ	norm_a.wav	16545	17503	20240
1	3	2	2	1	1	1789	1	3929	871	𐩬	norm_n.wav	26213	28002	29129
1	4	1	2	0	2	937	1	2685	1896	Խ	norm_n.wav	33858	34795	37798
1	5	2	1	0	2	1056	1	3440	775	𐩬	norm_h.wav	43271	44327	46082
1	6	1	1	1	1	1378	1	2720	1667	Խ	norm_h.wav	50835	52213	54547
1	7	2	2	1	1	916	1	3569	1769	𐩬	norm_n.wav	60147	61063	63947
1	8	3	4	0	2	1085	1	3164	940	Թ	norm_b.wav	69146	70231	72131
1	9	4	4	1	1	978	1	2398	1490	Փ	norm_b.wav	76558	77536	80077
1	10	2	1	0	2	869	1	2873	1931	𐩬	norm_h.wav	84980	85849	88945
1	11	4	3	0	2	922	1	2869	1205	Փ	norm_a.wav	93847	94769	97090
1	12	3	4	0	2	913	1	3162	1696	Թ	norm_b.wav	102282	103195	106008
1	13	1	2	0	1	1675	0	3788	2163	Խ	norm_n.wav	111833	113508	116039
1	14	4	3	0	2	1833	1	4089	1101	Փ	norm_a.wav	122161	123994	125306
1	15	3	3	1	1	835	1	3374	1435	Թ	norm_a.wav	130726	131561	134191
1	16	1	1	1	1	1832	1	2097	1726	Խ	norm_h.wav	138320	140152	142091
1	17	2	2	1	1	742	1	2760	1353	𐩬	norm_n.wav	146894	147636	150287
1	18	1	2	0	2	1707	1	3332	2009	Խ	norm_n.wav	155662	157369	159708
1	19	4	4	1	1	743	1	3282	2176	Փ	norm_b.wav	165034	165777	169244
1	20	2	2	1	1	798	1	2286	1592	𐩬	norm_n.wav	173567	174365	177193
1	21	3	3	1	1	1213	1	2863	1760	Թ	norm_a.wav	182091	183304	185895
1	22	1	1	1	1	1629	1	2548	834	Խ	norm_h.wav	190487	192116	193360
1	23	4	4	1	1	1831	1	2872	535	Փ	norm_b.wav	198260	200091	200830
1	24	2	1	0	2	834	1	3057	1433	𐩬	norm_h.wav	205930	206764	209408
1	25	3	3	1	1	844	1	3269	1067	Թ	norm_a.wav	214710	215554	217806
1	26	4	4	1	1	1096	1	2698	1412	Փ	norm_b.wav	222548	223644	225991
1	27	1	1	1	1	1102	1	1752	2328	Խ	norm_h.wav	229780	230882	234143
1	28	2	1	0	2	1092	1	3052	1369	𐩬	norm_h.wav	239240	240332	242642
1	29	3	4	0	2	1646	1	3082	1143	Թ	norm_b.wav	247768	249414	250949
1	30	4	3	0	2	1039	1	3221	1262	Փ	norm_a.wav	256210	257249	259513
1	31	3	4	0	2	1622	1	2301	1076	Թ	norm_b.wav	263858	265480	266971
1	32	1	2	0	2	1002	1	2608	1483	Խ	norm_n.wav	271614	272616	275130
