block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	3	2	0	1	874	0	3788	2163	Դ	norm_a.wav	8829	9703	13035
1	2	3	2	0	2	1286	1	2760	1388	Դ	norm_a.wav	17827	19113	21255
1	3	3	3	1	1	1055	1	3282	1412	Դ	norm_i.wav	26581	27636	30026
1	4	1	1	1	1	840	1	3164	834	Խ	norm_b.wav	35227	36067	38106
1	5	1	1	0	1	938	1	2873	1490	Խ	norm_b.wav	43007	43945	46531
1	6	3	2	0	2	1181	1	3057	2328	Դ	norm_a.wav	51618	52799	55991
1	7	2	1	0	2	1558	1	2301	1076	Ⴔ	norm_b.wav	60338	61896	63450
1	8	2	1	0	2	1070	1	2720	1654	Ⴔ	norm_b.wav	68206	69276	71904
1	9	2	2	1	2	1475	0	4089	2009	Ⴔ	norm_a.wav	78037	79512	82090
1	10	1	3	0	2	1138	1	2698	1143	Խ	norm_i.wav	86833	87971	90007
1	11	2	2	1	1	984	1	3221	1262	Ⴔ	norm_a.wav	95267	96251	98570
1	12	2	2	0	1	1500	1	2863	1101	Ⴔ	norm_a.wav	103478	104978	106623
1	13	1	1	1	1	979	1	2769	1205	Խ	norm_b.wav	111419	112398	114655
1	14	1	1	0	1	602	1	2548	1067	Խ	norm_b.wav	119234	119836	122340
1	15	3	2	0	2	1202	1	3043	1433	Դ	norm_a.wav	127427	128629	130901
1	16	1	3	0	2	1213	1	2286	2176	Խ	norm_i.wav	135221	136434	139431
1	17	1	3	0	2	863	1	2685	940	Խ	norm_i.wav	144154	145017	147137
1	18	2	1	0	2	828	1	3162	775	Ⴔ	norm_b.wav	152328	153156	155133
1	19	3	2	0	2	862	1	3440	1931	Դ	norm_a.wav	160606	161468	164573
1	20	2	2	1	1	798	1	3052	1592	Ⴔ	norm_a.wav	169659	170457	173283
1	21	1	3	0	2	899	1	2608	1726	Խ	norm_i.wav	177926	178825	181684
1	22	2	1	0	2	832	1	3374	871	Ⴔ	norm_b.wav	187101	187933	190002
1	23	1	1	1	1	1123	1	3929	1696	Խ	norm_b.wav	195976	197099	199716
1	24	3	3	1	1	1287	1	1752	1896	Դ	norm_i.wav	203506	204793	207436
1	25	2	2	1	1	809	1	3332	1353	Ⴔ	norm_a.wav	212801	213610	216191
1	26	1	3	0	2	965	1	3082	1760	Խ	norm_i.wav	221316	222281	225114
1	27	1	3	0	2	971	1	2097	1667	Խ	norm_i.wav	229255	230226	232967
1	28	2	1	0	2	837	1	2369	1435	Ⴔ	norm_b.wav	237367	238204	240842
1	29	3	3	1	1	850	1	2872	1483	Դ	norm_i.wav	245746	246596	249264
1	30	3	3	0	1	708	1	2990	535	Դ	norm_i.wav	254291	254999	256867
